Timestamp,Symbol,Side,Volume,EntryPrice,ExitPrice,PnL,Reason
2026-01-16 15:12:01,RENT3,SELL,7500.0,40.34,40.44,-675.0,Profit Lock - Meta Diária Atingida
2026-01-16 15:31:10,PETR4,BUY,116900.0,32.07244653550043,32.15,10235.0,Day-Only Close
2026-01-16 15:31:13,MGLU3,SELL,209700.0,8.449570815450643,8.44,2007.0,Day-Only Close
2026-01-16 15:31:16,B3SA3,BUY,27900.0,15.17,15.21,1116.0,Day-Only Close
2026-01-16 15:31:19,RENT3,SELL,7900.0,40.42,40.43,-79.0,Day-Only Close
2026-01-16 15:31:28,BBDC4,BUY,19900.0,18.92,18.89,-199.0,Day-Only Close
2026-01-19 16:40:09,RENT3,SELL,12200.0,40.48,40.64,-1830.0,Day-Only Close
2026-01-20 16:40:11,BBDC4,BUY,22100.0,19.09,19.08,-0.0,Day-Only Close
2026-01-21 16:00:01,RAIL3,BUY,9800.0,13.79,14.07,2842.0,Profit Lock - Meta Diária Atingida
2026-01-21 16:00:07,B3SA3,BUY,14000.0,15.23,15.37,2240.0,Profit Lock - Meta Diária Atingida
2026-01-21 16:00:12,RENT3,BUY,3700.0,42.12,42.55,1554.0,Profit Lock - Meta Diária Atingida
2026-01-21 16:00:16,VIVT3,BUY,9200.0,34.15,34.34,1840.0,Profit Lock - Meta Diária Atingida
2026-01-22 16:40:09,RAIL3,BUY,8400.0,14.28,14.33,504.0,Day-Only Close
2026-01-22 16:40:15,RENT3,BUY,4000.0,43.67,44.21,2160.0,Day-Only Close
2026-01-22 16:40:21,BBDC4,BUY,9100.0,20.23,20.29,546.0,Day-Only Close
2026-01-22 16:40:28,WEGE3,BUY,6500.0,49.06,49.45,2535.0,Day-Only Close
2026-01-22 16:40:34,B3SA3,BUY,11500.0,15.68,15.67,-115.0,Day-Only Close
2026-01-22 16:40:40,VIVT3,BUY,6700.0,35.9,35.81,-603.0,Day-Only Close
2026-01-23 15:30:37,B3SA3,BUY,15600.0,15.65,15.67,312.0,Day-Only Close
2026-01-23 15:31:19,ABEV3,BUY,39600.0,14.68,14.72,1980.0,Day-Only Close
2026-01-23 15:31:34,VIVT3,BUY,8300.0,36.59,36.7,913.0,Day-Only Close
2026-01-23 15:31:42,RECV3,BUY,35600.0,11.01,10.95,-1780.0,Day-Only Close
2026-01-23 15:31:49,RAIL3,BUY,12100.0,14.58,14.59,242.0,Day-Only Close
2026-01-23 15:31:55,PRIO3,BUY,4400.0,48.29,47.98,-1364.0,Day-Only Close
2026-01-26 16:40:00,WEGE3,BUY,3100.0,50.83,51.05,682.0,Day-Only Close
2026-01-26 16:40:00,VIVT3,SELL,5100.0,36.78,37.02,-1173.0,Day-Only Close
2026-01-26 16:40:01,BPAC11,BUY,2900.0,59.94,59.92,0.0,Day-Only Close
2026-01-26 16:40:02,BBDC4,BUY,10000.0,20.73,20.74,200.0,Day-Only Close
2026-01-26 16:40:03,ABEV3,BUY,38500.0,14.94,14.91,-770.0,Day-Only Close
2026-01-26 16:40:03,COGN3,BUY,40300.0,4.45,4.5,2418.0,Day-Only Close
2026-01-27 16:40:06,B3SA3,BUY,14300.0,15.99,16.14,2288.0,Day-Only Close
2026-01-27 16:45:06,RAIL3,BUY,14900.0,15.06,15.01,-596.0,Day-Only Close
2026-02-27 15:30:02,TOTS3,SELL,400.0,37.97,37.76,84.0,Day-Only Close
2026-02-27 15:30:05,POSI3,SELL,4600.0,4.09,4.08,92.0,Day-Only Close
2026-02-27 15:30:05,YDUQ3,SELL,1400.0,13.35,13.38,-28.0,Day-Only Close
2026-02-27 15:30:06,ANIM3,SELL,3700.0,5.05,5.11,-222.0,Day-Only Close
2026-02-27 15:30:06,BBDC3,SELL,1000.0,18.8,18.6,210.0,Day-Only Close
2026-02-27 15:30:07,ITSA4,SELL,1300.0,14.44,14.35,117.0,Day-Only Close
2026-02-27 15:30:08,GMAT3,SELL,3200.0,5.74,5.75,-32.0,Day-Only Close
2026-02-27 15:30:08,RADL3,SELL,700.0,25.59,25.3,210.0,Day-Only Close
2026-02-27 15:30:09,HBSA3,SELL,4600.0,4.1,4.13,-92.0,Day-Only Close
2026-02-27 15:30:09,BBDC4,SELL,800.0,21.49,21.49,0.0,Day-Only Close
2026-03-06 15:31:01,BMGB4,SELL,3800.0,4.8,4.79,76.0,Day-Only Close
2026-03-06 15:31:02,SBSP3,SELL,100.0,146.35,145.06,128.0,Day-Only Close
2026-03-06 15:31:03,BRSR6,SELL,1000.0,17.83,17.93,-100.0,Day-Only Close
2026-03-06 15:31:04,SAPR11,SELL,400.0,40.97,40.59,152.0,Day-Only Close
2026-03-06 15:31:05,CSED3,SELL,2600.0,6.24,6.19,182.0,Day-Only Close
2026-03-06 15:31:07,EQTL3,SELL,400.0,40.51,40.37,52.0,Day-Only Close
2026-03-06 15:31:14,SOJA3,SELL,2100.0,7.93,7.95,-42.0,Day-Only Close
2026-03-06 15:31:16,TRIS3,SELL,2400.0,6.88,6.86,48.0,Day-Only Close
2026-03-06 15:31:18,USIM5,SELL,2800.0,6.48,6.53,-112.0,Day-Only Close
2026-03-06 15:31:19,COGN3,SELL,5900.0,3.12,3.11,59.0,Day-Only Close
