DATA/HORA           | TIPO     | ATIVO  | LADO |   VOLUME |  PREÇO |     P&L R$    |   %    | MOTIVO
---------------------------------------------------------------------------------------------------------
2025-12-26 12:18:27 | ENTRADA  | SANB11 | BUY  | Vol:    5000 | Price:  34.23 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:31:13 | ENTRADA  | AURA33 | BUY  | Vol:    2500 | Price:  98.32 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:31:20 | ENTRADA  | AURA33 | BUY  | Vol:    2500 | Price:  98.40 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:34:24 | ENTRADA  | AURA33 | BUY  | Vol:    2500 | Price:  98.78 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:15:35 | ENTRADA  | JHSF3  | BUY  | Vol:   10000 | Price:   8.06 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:15:42 | ENTRADA  | JHSF3  | BUY  | Vol:   10000 | Price:   8.06 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:15:52 | ENTRADA  | JHSF3  | BUY  | Vol:   10000 | Price:   8.07 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:16:21 | ENTRADA  | TUPY3  | BUY  | Vol:   10000 | Price:  12.10 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:16:36 | ENTRADA  | TUPY3  | BUY  | Vol:   10000 | Price:  12.10 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:17:14 | ENTRADA  | TUPY3  | BUY  | Vol:   20000 | Price:  12.10 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:31:52 | ENTRADA  | LREN3  | BUY  | Vol:   10000 | Price:  13.60 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:32:20 | ENTRADA  | AURA33 | BUY  | Vol:    2500 | Price:  98.96 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:34:13 | ENTRADA  | CSNA3  | SELL | Vol:   10000 | Price:   9.06 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:45:46 | ENTRADA  | CMIG4  | BUY  | Vol:   10000 | Price:  11.02 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 13:52:34 | ENTRADA  | CSNA3  | SELL | Vol:   10000 | Price:   9.04 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 14:02:12 | ENTRADA  | IRBR3  | BUY  | Vol:    5000 | Price:  54.98 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 14:46:59 | ENTRADA  | CSNA3  | SELL | Vol:   20000 | Price:   9.11 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 14:47:24 | ENTRADA  | CSMG3  | SELL | Vol:   10000 | Price:  43.26 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 15:07:31 | ENTRADA  | JHSF3  | BUY  | Vol:   20000 | Price:   7.99 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 15:26:31 | ENTRADA  | AURA33 | BUY  | Vol:    2500 | Price:  98.95 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
