symbol,data_source,setor,subsetor,avg_volume,avg_close,last_close,d1_bars,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,mt5,IMOBILIÁRIO,,8452.2,25.6295,26.97,250,216625.65990000003,0.2428617428078676,0.808162095393696,0.808162095393696,0.0,0.5636363636363636,0.6909090909090909,1.0,0.9454545454545454,0.7745454545454545,1,A
QUAL3,mt5,SAÚDE,,1772.25,2.239,2.3,250,3968.0677499999997,0.5223535756040085,0.5658508395873388,0.5658508395873388,658865536.0,1.0,0.16363636363636364,0.9818181818181818,0.6181818181818182,0.7518181818181818,2,A
ABCB4,mt5,FINANCEIRO,,2933.65,23.7035,24.25,250,69537.77277499999,0.1984371617450426,0.512974255459001,0.512974255459001,5778596864.0,0.7818181818181819,0.8909090909090909,0.7272727272727273,0.5454545454545454,0.7427272727272727,3,A
LWSA3,mt5,TECNOLOGIA,,4795.95,4.2815,4.41,250,20533.859925,0.3831513515139712,0.5240588219923422,0.5240588219923422,2383369728.0,0.9272727272727272,0.36363636363636365,0.8909090909090909,0.5636363636363636,0.7327272727272727,4,A
ANIM3,mt5,SAÚDE,,6717.85,3.6254999999999997,4.04,250,24355.565175,0.6033305431932913,0.6076308550250498,0.6076308550250498,1515218432.0,0.9090909090909091,0.09090909090909091,0.9454545454545454,0.6909090909090909,0.7109090909090909,5,A
RECV3,mt5,ENERGIA,,9173.55,10.0555,10.57,250,92244.632025,0.25557319011801904,0.42851483966986553,0.42851483966986553,3026460160.0,0.7090909090909091,0.6181818181818182,0.8363636363636363,0.4,0.6609090909090909,6,A
SLCE3,mt5,CONSUMO NÃO CÍCLICO,,7117.6,14.569000000000003,15.44,250,103696.31440000002,0.1861211339096446,0.35083977382507153,0.35083977382507153,7564187136.0,0.6909090909090909,0.9636363636363636,0.6363636363636364,0.2727272727272727,0.6481818181818182,7,A
PINE4,mt5,FINANCEIRO,,1062.25,12.677000000000001,13.36,250,13466.143250000001,0.367317438517212,0.25070036540328333,0.25070036540328333,3138035200.0,0.9454545454545454,0.38181818181818183,0.8181818181818182,0.16363636363636364,0.6445454545454545,8,A
YDUQ3,mt5,CONSUMO CÍCLICO,,7131.9,12.256499999999999,12.38,250,87412.13234999999,0.433594014640121,0.6046707263533738,0.6046707263533738,3191640320.0,0.7454545454545455,0.23636363636363636,0.8,0.6727272727272727,0.6427272727272728,9,A
COGN3,mt5,CONSUMO CÍCLICO,,17968.7,3.3355000000000006,3.65,250,59934.59885000001,0.4421763169552591,0.5840125695021761,0.5840125695021761,7323808768.0,0.8545454545454545,0.21818181818181817,0.6545454545454545,0.6363636363636364,0.6336363636363637,10,A
MDNE3,mt5,CONSUMO CÍCLICO,,5762.8,23.701999999999998,24.8,250,136589.88559999998,0.40069442999725513,0.5060608085926618,0.5060608085926618,2039419392.0,0.6545454545454545,0.3090909090909091,0.9272727272727272,0.5272727272727272,0.6281818181818182,11,A
ODPV3,mt5,SAÚDE,,5328.65,11.116,10.69,250,59233.27339999999,0.27649651198993047,0.29981433272442004,0.29981433272442004,5827045888.0,0.8727272727272727,0.5454545454545454,0.7090909090909091,0.18181818181818182,0.6281818181818182,11,A
