Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
BPAC11,0.12,1.2622837887602942,0.9700939886709119,0.594,0.9963664921372495,4
MGLU3,0.11999999999997556,0.008771964334438087,0.5749378016457143,0.527,0.7783482457038208,6
SBSP3,0.1000000000000066,0.0,1.0,0.183,38.497865993943584,6
PETR4,0.1,0.0005392768786611073,0.9852744548334216,0.46,0.9990644900151892,4
VALE3,0.09999999999997701,0.04301123096860728,0.3908394328131987,0.729,0.6256502169539246,2
GGBR4,0.08286675542763354,0.02747879062944363,0.8985213895894454,0.587,0.9790516112250544,5
ENEV3,0.07999999999999494,0.002459591549283135,0.7615730595387211,0.49,0.9341394479773972,7
CYRE3,0.07684882542517592,0.014857740407913683,0.7114700859871944,0.576,1.0,11
PRIO3,0.0628931090326926,0.0,1.0,0.407,12.630631170380882,7
EQTL3,0.048703753683157845,0.0,1.0,0.389,7.814742437871293,3
ITUB4,0.03000000000000369,0.0,1.0,0.236,8.256066246848125,5
B3SA3,0.029950325834165896,-0.002432350133789429,0.7476130359772114,0.506,0.9252655469369768,6
SUZB3,0.02401028058116687,0.011430103223006891,0.9196613527075765,0.646,0.9624645524758905,5
BBDC4,0.01790432567035992,0.007524575648857054,0.7777922809394558,0.446,0.9761187861190985,8
ITSA4,0.005146149575059443,0.0,1.0,0.247,31.770743774286906,6
BBSE3,0.0009123602606300491,0.0,1.0,0.207,27.731449172986082,7
RDOR3,0.0007641145099979706,0.0,1.0,0.262,79.28665871616742,9
BBAS3,0.0,0.0,1.0,0.214,85.13515350837574,8
ABEV3,0.0,0.0,1.0,0.223,9.248803138231578,5
WEGE3,0.0,0.0,1.0,0.348,104.81096970231474,7
