symbol,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,,54738560.8275,0.2698585557022558,0.8406028157483496,0.8406028157483496,0.0,0.7407407407407407,0.6111111111111112,1.0,0.9629629629629629,0.8240740740740742,1,A
ABCB4,,14350053.910000002,0.19280305520716257,0.5384350448910056,0.5384350448910056,5778596864.0,0.9259259259259259,0.9814814814814815,0.7407407407407407,0.5555555555555556,0.8166666666666667,2,A
LWSA3,,13579205.4,0.3849704477952909,0.6218441206888751,0.6218441206888751,2366856960.0,0.9629629629629629,0.35185185185185186,0.9074074074074074,0.7037037037037037,0.775,3,A
QUAL3,,4847259.0925,0.5336866829008665,0.5442698666656575,0.5442698666656575,658865536.0,0.9814814814814815,0.14814814814814814,0.9814814814814815,0.5740740740740741,0.7333333333333333,4,A
PINE4,,4423068.6850000005,0.36730907943693214,0.4218518777865571,0.4218518777865571,3138035200.0,1.0,0.4074074074074074,0.8333333333333334,0.37037037037037035,0.7138888888888889,5,A
MDNE3,,30151714.82,0.45369680334525964,0.48745527696734803,0.48745527696734803,2039419392.0,0.8333333333333334,0.2037037037037037,0.9444444444444444,0.46296296296296297,0.6611111111111111,6,A
RECV3,,45360360.5,0.2881343020665156,0.39942613893497525,0.39942613893497525,2994232832.0,0.7777777777777778,0.5555555555555556,0.8518518518518519,0.3148148148148148,0.6592592592592593,7,A
SLCE3,,38636500.95,0.21261044475442745,0.38908548447260105,0.38908548447260105,7564187136.0,0.7962962962962963,0.8148148148148148,0.6481481481481481,0.2777777777777778,0.6592592592592592,8,A
YDUQ3,,32614730.1,0.44363314610943544,0.5734958301836662,0.5734958301836662,3191640320.0,0.8148148148148148,0.2222222222222222,0.8148148148148148,0.6111111111111112,0.6555555555555556,9,A
ANIM3,,29861702.662499998,0.635237090356854,0.5029768884189679,0.5029768884189679,1545447168.0,0.8518518518518519,0.09259259259259259,0.9629629629629629,0.48148148148148145,0.6537037037037037,10,A
TEND3,,56695792.724999994,0.5258436203617453,0.6402667048718856,0.6402667048718856,2769006336.0,0.7037037037037037,0.16666666666666666,0.8703703703703703,0.7407407407407407,0.6453703703703704,11,A
MULT3,,102737947.67,0.27821953871022254,0.8099569773113179,0.8099569773113179,14239464448.0,0.5740740740740741,0.5740740740740741,0.5370370370370371,0.9074074074074074,0.6314814814814815,12,B
ODPV3,,23970882.645,0.3236870030651683,0.351679803152442,0.351679803152442,5827045888.0,0.8703703703703703,0.46296296296296297,0.7222222222222222,0.25925925925925924,0.6296296296296295,13,B
MOVI3,,50629324.00500001,0.6836547108883076,0.615545180395977,0.615545180395977,3218588160.0,0.7592592592592593,0.07407407407407407,0.7962962962962963,0.6666666666666666,0.6129629629629629,14,B
DESK3,,17071816.544999998,0.7796084134141711,0.09959960635183832,0.09959960635183832,2063968640.0,0.9074074074074074,0.05555555555555555,0.9259259259259259,0.09259259259259259,0.5787037037037037,15,B
MRVE3,,64603282.74,0.40167233086077514,0.47301597810045487,0.47301597810045487,4209933568.0,0.6666666666666666,0.2777777777777778,0.7777777777777778,0.42592592592592593,0.5685185185185184,16,B
ONCO3,,14028960.58,1.0388246686456313,0.015493433559584283,0.015493433559584283,2415317248.0,0.9444444444444444,0.018518518518518517,0.8888888888888888,0.018518518518518517,0.5601851851851851,17,B
RAIZ4,,20097627.1275,0.4201418101112055,0.3365246582653807,0.3365246582653807,8791648256.0,0.8888888888888888,0.24074074074074073,0.6111111111111112,0.2222222222222222,0.5564814814814815,18,B
ENEV3,,150449642.15500003,0.26888658458821835,0.6936122877179557,0.6936122877179557,39465570304.0,0.4444444444444444,0.6296296296296297,0.4074074074074074,0.7962962962962963,0.5425925925925925,19,B
VBBR3,,247189856.5525,0.2286643414832504,0.6506766366074912,0.6506766366074912,30564724736.0,0.3148148148148148,0.7962962962962963,0.46296296296296297,0.7777777777777778,0.5407407407407407,20,B
CYRE3,,150063566.89749998,0.38508164318715365,0.7460551233095034,0.7460551233095034,9047880704.0,0.46296296296296297,0.3333333333333333,0.5925925925925926,0.8148148148148148,0.5398148148148147,21,B
NEOE3,,64675639.35000001,0.19655426731977602,0.05780193549568436,0.05780193549568436,38877925376.0,0.6481481481481481,0.9629629629629629,0.42592592592592593,0.05555555555555555,0.537037037037037,22,B
EQTL3,,265812377.56500003,0.24524381760135697,0.8102525574454893,0.8102525574454893,47108534272.0,0.2962962962962963,0.7222222222222222,0.3333333333333333,0.9259259259259259,0.5166666666666667,23,B
BEEF3,,63557902.685,0.41543693758078487,0.2521493494227813,0.2521493494227813,5439456768.0,0.6851851851851852,0.25925925925925924,0.7592592592592593,0.16666666666666666,0.5148148148148148,24,B
USIM5,,56365312.4775,0.37630266171826404,0.2415610968083674,0.2415610968083674,7902652416.0,0.7222222222222222,0.37037037037037035,0.6296296296296297,0.14814814814814814,0.513888888888889,25,C
TOTS3,,122816594.5525,0.3173811495907241,0.5157969994845443,0.5157969994845443,25321539584.0,0.5185185185185185,0.5,0.5,0.5185185185185185,0.5101851851851852,26,C
RADL3,,184322949.3375,0.2980262722104202,0.6424417444536263,0.6424417444536263,42116014080.0,0.3888888888888889,0.5370370370370371,0.3888888888888889,0.7592592592592593,0.4925925925925926,27,C
COGN3,,92488161.58750002,0.47269877085016937,0.4517422228642639,0.4517422228642639,7243985408.0,0.5925925925925926,0.18518518518518517,0.6666666666666666,0.3888888888888889,0.4888888888888889,28,C
MGLU3,,142440028.77,0.5411540859268138,0.5560699493567175,0.5560699493567175,7182311424.0,0.48148148148148145,0.12962962962962962,0.7037037037037037,0.5925925925925926,0.4888888888888889,28,C
TIMS3,,161183504.29500005,0.23994566300235307,0.5208764925431913,0.5208764925431913,54652731392.0,0.42592592592592593,0.7592592592592593,0.3148148148148148,0.5370370370370371,0.48703703703703705,30,C
ITSA4,,294267825.0675,0.2113381197750013,0.8129668133356592,0.8129668133356592,135956004864.0,0.25925925925925924,0.8333333333333334,0.14814814814814814,0.9444444444444444,0.48333333333333334,31,C
BBSE3,,214256233.94250003,0.171677909393929,0.457721837620197,0.457721837620197,68175462400.0,0.37037037037037035,1.0,0.2777777777777778,0.4074074074074074,0.4805555555555555,32,C
VIVT3,,129316366.08000001,0.2732392666104638,0.6021551527197866,0.6021551527197866,106062880768.0,0.5,0.5925925925925926,0.2037037037037037,0.6481481481481481,0.4740740740740741,33,C
GGBR4,,184200398.72000003,0.20817971065861773,0.40590823112400015,0.40590823112400015,43532173312.0,0.4074074074074074,0.8518518518518519,0.37037037037037035,0.3333333333333333,0.4722222222222222,34,C
LREN3,,230517086.575,0.36731407351512657,0.5936667922935593,0.5936667922935593,13092715520.0,0.35185185185185186,0.3888888888888889,0.5555555555555556,0.6296296296296297,0.46574074074074073,35,C
CSNA3,,81094751.28,0.3939670269758243,0.2585350435667013,0.2585350435667013,12611153920.0,0.6111111111111112,0.2962962962962963,0.5740740740740741,0.18518518518518517,0.45370370370370366,36,C
RENT3,,328673895.93,0.3421237271589239,0.8015396941716366,0.8015396941716366,44678504448.0,0.24074074074074073,0.4444444444444444,0.35185185185185186,0.8888888888888888,0.4388888888888889,37,C
