Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
AURA33,0.15,0.668117283589336,0.4840025754193367,0.46,0.71970569886591,11
TEND3,0.15,0.057831306583502905,0.04508256929681274,0.853,0.046345205435445215,0
ONCO3,0.15,0.5024749586401742,0.4328448661845791,0.455,0.6655060507525257,11
COGN3,0.15,0.596313972330782,0.5026994555672026,0.489,1.0,13
MDNE3,0.13864150420507196,0.004029545657155013,0.5290512834235586,0.501,0.7343912546608194,6
MGLU3,0.06788131061771514,0.008771964334438087,0.5749378016457143,0.537,0.7874062731006216,6
VALE3,0.05085330724415668,0.04301123096860728,0.3908394328131987,0.714,0.6235267593840658,2
PINE4,0.044685581626985396,0.007594281768155632,0.6842886135931993,0.495,0.9080071637889535,7
KLBN11,0.04441181133854177,0.978968338952468,0.7901551969543018,0.469,0.9652481046827303,4
IGTI11,0.021634709395722016,0.017441455192762367,0.8311649812966413,0.588,0.9035953690152736,3
ODPV3,0.012162719027344192,1.468763454359895,0.9615416247972629,0.519,0.9899826406810147,7
SUZB3,0.011554833753807746,0.011430103223006891,0.9196613527075765,0.615,0.9617993650178185,5
DESK3,0.003457744110914148,0.02684871533531344,0.9181800892101308,0.524,0.9857937602240843,5
BPAC11,0.003434581135743487,1.2622837887602942,0.9700939886709119,0.6,0.9964091390280223,4
SLCE3,0.0012818975438165761,0.03442703215130178,0.8685339291285089,0.568,0.9837321314474791,5
USIM5,0.0,0.041323011481842455,0.5284158242437123,0.608,0.7956238347966402,3
GGBR4,0.0,0.02747879062944363,0.8985213895894454,0.559,0.9787785459253124,5
BBDC4,0.0,0.007524575648857054,0.7777922809394558,0.456,0.9713686669215753,8
RECV3,0.0,0.003542667617708122,0.6840739553549433,0.525,0.8570853013926207,5
ENEV3,0.0,0.002459591549283135,0.7615730595387211,0.49,0.9334591789031862,7
