Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
PETR4,0.05,6035.722877894955,0.9060233335706138,1.0,0.9578057849300304,11
ITUB4,0.05,0.0,1.0,0.455,70.65271663235322,17
B3SA3,0.05,50.59192671992282,0.5453475647054952,0.983,0.7890653351958719,7
BBDC4,0.05,54.769309924680186,0.72784317589521,0.985,0.8703448046987581,10
BBAS3,0.05,0.0,1.0,0.395,25.855139670063814,11
SBSP3,0.05,19.139266949961865,0.8076918727983041,0.916,0.9629735514561372,8
BPAC11,0.05,30.625802118639218,0.72936311548838,0.979,0.8937869004544935,9
RENT3,0.05,29.403289421787303,0.6073220177939133,0.822,1.0,10
PRIO3,0.05,19.873022379764244,0.6540920098871407,0.989,0.8006666773278045,7
ITSA4,0.05,4.237534798889622,0.7179225383605238,0.858,0.9185878741135668,6
LWSA3,0.05,7808.627932154516,0.48007258792475244,0.781,1.0,15
MGLU3,0.05,1636.4974732351445,0.6897311390784993,0.848,1.0,17
COGN3,0.05,1336.0147917983588,0.5651043652127551,0.863,1.0,15
VIVT3,0.05,877.374909869131,0.7403433167062836,0.805,1.0,13
MOVI3,0.05,479.03978051969426,0.51348017604141,1.0,0.701167945374733,10
RECV3,0.05,417.3791817148189,0.9571965169795462,0.769,1.0,15
ANIM3,0.05,351.64660020648495,0.711989742292208,0.876,1.0,16
HAPV3,0.05,349.91813755136934,0.8345966465441808,0.756,1.0,12
RAIZ4,0.05,335.6129819620453,0.8621752446718338,0.782,1.0,12
RADL3,0.05,233.65061642395,0.6829150400123701,0.791,1.0,14
