n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,profit_factor,total_trades,costs_paid_proxy,final_equity
5,5,-0.20245748114761164,-0.10391125336519362,-0.11132220918410216,-0.7044944493919244,0.2873798101920608,0.9519875050103926,9,544.117587886044,79754.25188523883
10,10,-0.25723335610781306,-0.11981883404462235,-0.1279858455904991,-0.8639599197905179,0.29773760358024914,0.9506440216852039,29,1949.9854346387303,74276.6643892187
15,15,-0.21470875732657368,-0.141674266023715,-0.15210153669480606,-0.8924011807775425,0.24059667552154015,0.9260521297971248,42,2605.163383861986,78529.12426734263
20,20,-0.19001166730869246,-0.15844818780756706,-0.16734710499710392,-0.7780423187262934,0.24421765080819008,0.9098243183293675,45,2865.86657423361,80998.83326913076
