n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,0,0.0,0.0,0.0,0.0,0.01,100000.0,0,0.0
10,0,0.0,0.0,0.0,0.0,0.01,100000.0,0,0.0
15,0,0.0,0.0,0.0,0.0,0.01,100000.0,0,0.0
20,0,0.0,0.0,0.0,0.0,0.01,100000.0,0,0.0
