n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,0.0038408336245292496,1.3733786986127294,1.8310512326517416,2.106590841479195,0.01,100384.08336245292,5,39.206954927894664
10,10,-0.008913583325384833,-1.5943380745968645,-2.299597179933902,-2.587514594288614,0.018730318221018265,99108.64166746152,67,4323.372872799131
15,15,-0.022426692813116045,-4.046690058326604,-5.60160697756605,-4.111398485093542,0.03003363914993633,97757.33071868839,141,8055.454672994395
20,20,-0.02728849128134314,-5.45661555608688,-7.485811764623412,-4.471074572740145,0.03372973511916217,97271.15087186568,178,10694.408969992146
