Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
COGN3,0.0901,-0.03457397011030917,0.5313980308951044,0.448,0.7040290394349724,9
MGLU3,0.0901,-0.09161274991019908,0.5909209255990419,0.504,1.0,14
AURA33,0.0901,-0.05842968692755499,0.486827947490329,0.479,1.0,11
USIM5,0.0901,-0.04933445516905979,0.5832527875600941,0.456,1.0,16
ANIM3,0.0901,-0.04221520199617536,0.3980198806869913,0.5,1.0,14
DESK3,0.0901,-0.00589414294487753,0.5694410579523528,0.478,1.0,10
RAIZ4,0.0901,0.006549243674571901,0.569337978128012,0.555,0.7851704930053395,8
MDNE3,0.0744,-0.07778513099355584,0.774035098269005,0.379,1.0,11
TEND3,0.0619,-0.07882006672667982,0.6344335736153223,0.415,0.8429305362363266,9
BPAC11,0.0592,-0.008130890017758899,0.902366012418721,0.57,0.9500047240919441,8
HAPV3,0.059,-0.029504243828850855,0.7910458062797529,0.453,1.0,10
LWSA3,0.0486,0.0031185948902970016,0.7672686023618709,0.554,0.9197763408776869,7
MRVE3,0.0293,-0.05437290367436988,0.7831204550042703,0.39,0.915521520654437,9
CSNA3,0.0211,-0.025114092207313102,0.8154713427115057,0.413,0.9303361687107161,9
LREN3,0.0099,-0.007622647859561092,0.8858362450476083,0.461,0.9700156057987506,9
CYRE3,0.0045,-0.00788688422789726,0.8798675662267426,0.479,0.9505072309266347,10
B3SA3,0.0011,-0.04832341018066555,0.9322584809900012,0.361,1.0,12
RDOR3,0.0002,-0.040525640267982145,0.9897489701056226,0.422,0.9986501848519227,9
TOTS3,0.0,0.011975581014685235,0.9957816431865532,0.493,0.9995307973049345,9
YDUQ3,0.0,-0.013154559311687538,0.8393728551892274,0.497,1.0,10
