symbol,status,reason,timestamp
INTB3,ERROR,'volume',2026-01-08T23:30:24.761430
IRBR3,ERROR,'volume',2026-01-08T23:30:24.796304
ITSA3,ERROR,'volume',2026-01-08T23:30:24.827652
ITSA4,ERROR,'volume',2026-01-08T23:30:24.863677
ITUB3,ERROR,'volume',2026-01-08T23:30:24.889772
ITUB4,ERROR,'volume',2026-01-08T23:30:24.924884
JALL3,ERROR,'volume',2026-01-08T23:30:24.952049
JBSS3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:24.953405
JHSF3,ERROR,'volume',2026-01-08T23:30:24.984022
KEPL3,ERROR,'volume',2026-01-08T23:30:25.017028
KLBN11,ERROR,'volume',2026-01-08T23:30:25.049929
KLBN4,ERROR,'volume',2026-01-08T23:30:25.081465
KNRI11,ERROR,'volume',2026-01-08T23:30:25.114897
KRSA3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.116281
LIGT3,ERROR,'volume',2026-01-08T23:30:25.148254
LJQQ3,ERROR,'volume',2026-01-08T23:30:25.177564
LOGG3,ERROR,'volume',2026-01-08T23:30:25.212956
LOGN3,ERROR,'volume',2026-01-08T23:30:25.241727
LREN3,ERROR,'volume',2026-01-08T23:30:25.273965
LWSA3,ERROR,'volume',2026-01-08T23:30:25.305910
MATD3,ERROR,'volume',2026-01-08T23:30:25.336368
MDIA3,ERROR,'volume',2026-01-08T23:30:25.372993
MDNE3,ERROR,'volume',2026-01-08T23:30:25.402145
MEAL3,ERROR,'volume',2026-01-08T23:30:25.433110
MEGA3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.435664
MGLU3,ERROR,'volume',2026-01-08T23:30:25.465921
MOVI3,ERROR,'volume',2026-01-08T23:30:25.499330
MRFG3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.500298
MRVE3,ERROR,'volume',2026-01-08T23:30:25.531499
MTRE3,ERROR,'volume',2026-01-08T23:30:25.560756
MULT3,ERROR,'volume',2026-01-08T23:30:25.595584
MXRF11,ERROR,'volume',2026-01-08T23:30:25.625601
NEOE3,ERROR,'volume',2026-01-08T23:30:25.665005
NGRD3,ERROR,'volume',2026-01-08T23:30:25.692226
NTCO3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.693264
ODPV3,ERROR,'volume',2026-01-08T23:30:25.722670
ONCO3,ERROR,'volume',2026-01-08T23:30:25.754364
ORVR3,ERROR,'volume',2026-01-08T23:30:25.785470
PARD3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.786842
PCAR3,ERROR,'volume',2026-01-08T23:30:25.822367
PETR3,ERROR,'volume',2026-01-08T23:30:25.850239
PETR4,ERROR,'volume',2026-01-08T23:30:25.882575
PINE4,ERROR,'volume',2026-01-08T23:30:25.914963
PLPL3,ERROR,'volume',2026-01-08T23:30:25.933832
POMO4,ERROR,'volume',2026-01-08T23:30:25.961953
PORT3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:25.962859
POSI3,ERROR,'volume',2026-01-08T23:30:25.993817
PRIO3,ERROR,'volume',2026-01-08T23:30:26.026308
PSSA3,ERROR,'volume',2026-01-08T23:30:26.058106
QUAL3,ERROR,'volume',2026-01-08T23:30:26.090782
RADL3,ERROR,'volume',2026-01-08T23:30:26.124460
RAIL3,ERROR,'volume',2026-01-08T23:30:26.156269
RAIZ4,ERROR,'volume',2026-01-08T23:30:26.185497
RANI3,ERROR,'volume',2026-01-08T23:30:26.219638
RAPT4,ERROR,'volume',2026-01-08T23:30:26.249970
RDOR3,ERROR,'volume',2026-01-08T23:30:26.282052
RECV3,ERROR,'volume',2026-01-08T23:30:26.314472
RENT3,ERROR,'volume',2026-01-08T23:30:26.346323
ROMI3,ERROR,'volume',2026-01-08T23:30:26.379443
RPAD5,ERROR,'volume',2026-01-08T23:30:26.611959
RRRP3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:26.613536
RUM3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:26.614429
SANB11,ERROR,'volume',2026-01-08T23:30:26.638925
SANB3,ERROR,'volume',2026-01-08T23:30:26.673624
SANB4,ERROR,'volume',2026-01-08T23:30:26.702599
SAPR11,ERROR,'volume',2026-01-08T23:30:26.738949
SAPR4,ERROR,'volume',2026-01-08T23:30:26.766282
SBFG3,ERROR,'volume',2026-01-08T23:30:26.799407
SBSP3,ERROR,'volume',2026-01-08T23:30:26.832748
SEER3,ERROR,'volume',2026-01-08T23:30:26.865599
SHUL4,ERROR,'volume',2026-01-08T23:30:26.893789
SLCE3,ERROR,'volume',2026-01-08T23:30:26.926200
SMTO3,ERROR,'volume',2026-01-08T23:30:26.961148
SOJA3,ERROR,'volume',2026-01-08T23:30:26.992144
