Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
BPAC11,0.12,1.2622837887602942,0.9700939886709119,0.602,0.9967439418095316,4
MGLU3,0.11999999999997556,0.008771964334438087,0.5749378016457143,0.548,0.7907404159958499,6
SBSP3,0.1000000000000066,0.0,1.0,0.181,37.893824343027774,6
PETR4,0.1,0.0005392768786611073,0.9852744548334216,0.454,0.9991139512019255,4
VALE3,0.09999999999997701,0.04301123096860728,0.3908394328131987,0.707,0.6221429022610981,2
GGBR4,0.08286675542763354,0.02747879062944363,0.8985213895894454,0.563,0.9790593876087996,5
ENEV3,0.07999999999999494,0.002459591549283135,0.7615730595387211,0.53,0.9404994761227812,7
CYRE3,0.07684882542517592,0.014857740407913683,0.7114700859871944,0.588,1.0,11
PRIO3,0.0628931090326926,0.0,1.0,0.443,12.499186230570611,7
EQTL3,0.048703753683157845,0.0,1.0,0.358,7.803007951791829,3
ITUB4,0.03000000000000369,0.0,1.0,0.244,8.332624420685319,5
B3SA3,0.029950325834165896,-0.002432350133789429,0.7476130359772114,0.529,0.9254709459604115,6
SUZB3,0.02401028058116687,0.011430103223006891,0.9196613527075765,0.626,0.9618465688565956,5
BBDC4,0.01790432567035992,0.007524575648857054,0.7777922809394558,0.472,0.9754322440551897,8
ITSA4,0.005146149575059443,0.0,1.0,0.248,31.388308094601392,6
BBSE3,0.0009123602606300491,0.0,1.0,0.227,28.06117984213797,7
RDOR3,0.0007641145099979706,0.0,1.0,0.267,61.33391414517543,9
BBAS3,0.0,0.0,1.0,0.247,84.45074761845868,8
ABEV3,0.0,0.0,1.0,0.233,10.296944521035673,5
WEGE3,0.0,0.0,1.0,0.353,100.30369112269524,7
