Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
PETR4,0.1282,0.0,1.0,0.315,5.1072871254896395,10
VALE3,0.1282,0.0,1.0,0.228,3.5509124556679827,7
ITUB4,0.1282,0.0,1.0,0.423,3.6281509229768587,11
BBDC4,0.1282,0.0,1.0,0.257,4.522979878300477,11
BBAS3,0.1282,0.0,1.0,0.391,692.2090071509882,12
B3SA3,0.1282,-0.49060386584947346,0.682407769970722,0.463,1.0,12
VIVT3,0.1282,0.0,1.0,0.309,37.83497561781594,12
ABEV3,0.0513,0.0,1.0,0.31,59.02700318536456,9
SUZB3,0.0513,0.0,1.0,0.397,8.661665759202103,7
ELET3,0.0,0.0,1.0,0.0,1.0,0
