n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,-0.2480913451855733,-0.09392547787876206,-0.10592335891667329,-0.6822996565522514,0.3636105379844554,75190.86548144267,30,2105.1521666762887
10,10,-0.1404679218148578,-0.13404966451687184,-0.14176892768671703,-0.7092709574030601,0.19804550059284826,85953.20781851422,30,2105.1521666762887
15,15,-0.20266645478915224,-0.11687583665623939,-0.13085574269513106,-0.6900693590114719,0.29368997788783585,79733.35452108478,106,7644.745290718236
20,20,-0.16838407177828285,-0.13800259269195037,-0.1538968935213091,-0.7285379030328291,0.23112602800392007,83161.59282217172,130,8316.913336692449
