n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,-0.06514924340470762,-0.7858890194751824,-0.555785920862556,-0.9139312966369474,0.07128461805000173,93485.07565952923,0,0.0
10,10,-0.17757878124771542,-0.10894327231917247,-0.11769663781210624,-0.7875114756745558,0.22549357911972956,82242.12187522846,57,4135.987590987487
15,15,-0.21089329301009163,-0.14234712097294047,-0.1551837211016807,-0.9162024737566419,0.23018197292720724,78910.67069899084,126,7742.530070414719
20,20,-0.1854370900090535,-0.14172349615650232,-0.15529458458695608,-0.7998496883872017,0.23183992280220117,81456.29099909465,159,10345.39716820233
