Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
B3SA3,0.1518,0.010159706556279806,0.639112751586498,0.566,1.0,12
BBDC4,0.0956,0.0,1.0,0.272,16.664804175579544,8
BBAS3,0.0956,0.0,1.0,0.254,6.396513004407622,12
ITUB4,0.0956,0.0,1.0,0.32,8.820989707284216,9
VIVT3,0.0956,0.0,1.0,0.366,8.25105278706493,8
VALE3,0.0597,0.0,1.0,0.352,8.258866283368597,9
PETR4,0.0597,0.0,1.0,0.311,22.106612820142228,8
PRIO3,0.0597,-0.039944826121214305,0.7294518539041739,0.281,51.69664924528803,8
AXIA3,0.0478,-0.03565131961632548,0.7044144596894761,0.768,0.9694267351540945,11
SUZB3,0.0478,0.0,1.0,0.293,43.40816362531439,11
WEGE3,0.0478,0.4515082668626072,0.8089207169253816,0.489,1.0,14
ABEV3,0.0478,0.0,1.0,0.522,1.0,5
RAIZ4,0.0478,0.058606858975764446,0.6716894286424447,0.545,1.0,15
RDOR3,0.0478,0.5767654939281792,0.7761813245176165,0.534,1.0,11
BPAC11,0.0,-0.023463438231064105,0.8157327426749046,0.415,1.0,11
VBBR3,0.0,0.0055818338287698735,0.9197625983992697,0.52,1.0,9
TOTS3,0.0,-0.004584104234575196,0.7122699660286358,0.521,1.0,12
RAIL3,0.0,-0.009688801270287928,0.8174137064059028,0.403,1.0,11
AURA33,0.0,0.0023433357220512883,0.6505768763656299,0.461,1.0,9
COGN3,0.0,-0.01972450606167777,0.6420678278487558,0.441,1.0,9
