symbol,data_source,setor,subsetor,avg_volume,avg_close,last_close,d1_bars,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,yahoo,IMOBILIÁRIO,,2153015.0,25.659499835968017,26.790000915527344,250,55245288.03933668,0.24231805476761017,0.8104060968771557,0.8104060968771557,0.0,0.7272727272727273,0.6909090909090909,1.0,0.9818181818181818,0.8390909090909091,1,A
ABCB4,yahoo,FINANCEIRO,,632905.0,24.342499923706054,23.959999084472656,250,15406489.91421318,0.2165863522682052,0.46555088671857675,0.46555088671857675,5778596864.0,0.9272727272727272,0.8545454545454545,0.7272727272727273,0.4727272727272727,0.7718181818181817,2,A
QUAL3,yahoo,SAÚDE,,2189560.0,2.240500009059906,2.319999933242798,250,4905709.199837208,0.5175483948964374,0.5667214784451118,0.5667214784451118,658865536.0,0.9818181818181818,0.16363636363636364,0.9818181818181818,0.6545454545454545,0.7527272727272727,3,A
LWSA3,yahoo,TECNOLOGIA,,3191530.0,4.275500011444092,4.329999923706055,250,13645386.551524162,0.382801836880928,0.5273383756585807,0.5273383756585807,2383369728.0,0.9636363636363636,0.38181818181818183,0.8909090909090909,0.5818181818181818,0.7527272727272726,4,A
ANIM3,yahoo,SAÚDE,,8483625.0,3.643500006198883,4.010000228881836,250,30910087.740089,0.6033739824692083,0.6069995951216758,0.6069995951216758,1515218432.0,0.8545454545454545,0.10909090909090909,0.9454545454545454,0.7090909090909091,0.6990909090909091,5,A
YDUQ3,yahoo,CONSUMO CÍCLICO,,2706830.0,12.448500061035157,12.109999656677246,250,33695973.42021179,0.43699023418199884,0.6097613122942454,0.6097613122942454,3191640320.0,0.8363636363636363,0.2727272727272727,0.8,0.7454545454545455,0.6963636363636363,6,A
RECV3,yahoo,ENERGIA,,4605160.0,10.796499919891357,10.329999923706056,250,49719609.57108688,0.2736748589928083,0.40091294248806736,0.40091294248806736,3026460160.0,0.7818181818181819,0.6,0.8363636363636363,0.4,0.6827272727272726,7,A
TEND3,yahoo,CONSUMO CÍCLICO,,2088600.0,24.20499982833862,22.850000381469727,250,50554562.64146805,0.48112806153308757,0.6285401007545414,0.6285401007545414,2769006336.0,0.7636363636363637,0.2,0.8545454545454545,0.7636363636363637,0.6736363636363636,8,A
MDNE3,yahoo,CONSUMO CÍCLICO,,1377065.0,25.520499897003173,24.13999938964844,250,35143387.190666676,0.4634281109659174,0.46987140520961296,0.46987140520961296,2039419392.0,0.8181818181818182,0.21818181818181817,0.9272727272727272,0.509090909090909,0.6636363636363636,9,A
PINE4,yahoo,FINANCEIRO,,359780.0,12.833499956130982,13.239999771118164,250,4617236.6142168045,0.3599912289869441,0.25155511491767285,0.25155511491767285,3138035200.0,1.0,0.41818181818181815,0.8181818181818182,0.12727272727272726,0.6636363636363636,9,A
SLCE3,yahoo,CONSUMO NÃO CÍCLICO,,2752795.55,14.59977765083313,15.220000267028809,250,40190202.948202886,0.20472900959020762,0.29243051533252107,0.29243051533252107,7564187136.0,0.8,0.9272727272727272,0.6363636363636364,0.18181818181818182,0.6609090909090909,11,A
MULT3,yahoo,IMOBILIÁRIO,,4037040.0,27.809000110626222,29.100000381469727,250,112266045.80660248,0.24371347850702654,0.8018603861914592,0.8018603861914592,14239464448.0,0.5454545454545454,0.6727272727272727,0.5272727272727272,0.9636363636363636,0.65,12,B
