Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
BBDC4,0.0979,0.0,1.0,0.23,4.522979878300477,11
B3SA3,0.0966,-0.49060386584947346,0.682407769970722,0.429,1.0,12
VALE3,0.0957,0.0,1.0,0.274,3.6242091334638853,7
ITUB4,0.0948,0.0,1.0,0.452,3.5808363401579535,11
VIVT3,0.0872,0.0,1.0,0.305,25.611251917270067,12
PETR4,0.0815,0.0,1.0,0.287,5.123222080090417,10
PRIO3,0.0545,-0.03988516408795742,0.9496276745806537,0.275,26.32667140372663,9
SUZB3,0.0436,0.0,1.0,0.374,8.65462314588015,7
SLCE3,0.0436,0.021643519040957265,0.9767364303011983,0.598,1.0,6
TOTS3,0.0436,0.021188400207033522,0.8747767814790186,0.477,1.0,4
ABEV3,0.0436,0.0,1.0,0.32,69.94681924344113,9
RAIL3,0.0436,-0.016848288945838345,0.8184737970699028,0.45,1.0,11
BPAC11,0.0378,0.013949526241536836,0.9031129678210293,0.559,1.0,6
RENT3,0.0351,-0.013361892071637498,0.851263700355342,0.437,1.0,10
MDNE3,0.0349,-0.009080683837088018,0.8221727004524547,0.475,1.0,11
USIM5,0.0348,-0.0007872944874662107,0.8030419673656378,0.518,1.0,10
WEGE3,0.0311,0.000808811466318521,0.957113309666525,0.439,1.0,5
RECV3,0.0,0.020484554708270677,0.9969954335974206,0.597,1.0,5
ELET3,0.0,0.0,1.0,0.0,1.0,0
