symbol,reason
ABEV3,Beta Baixo (0.46 < 0.5)
ALSO3,SEM_DADOS_D1
AURA33,Beta Baixo (0.10 < 0.5)
AZUL4,SEM_DADOS_D1
BRFS3,SEM_DADOS_D1
CCRO3,SEM_DADOS_D1
CRFB3,SEM_DADOS_D1
ELET3,SEM_DADOS_D1
JBSS3,SEM_DADOS_D1
KLBN11,Beta Baixo (0.04 < 0.5)
NEOE3,Beta Baixo (0.07 < 0.5)
ONCO3,Beta Baixo (-0.11 < 0.5)
PINE4,Baixa Liquidez (< R$ 10.0M)
QUAL3,Baixa Liquidez (< R$ 10.0M)
SUZB3,Beta Baixo (-0.27 < 0.5)
VALE3,Beta Baixo (0.49 < 0.5)
WEGE3,Beta Baixo (0.29 < 0.5)
