Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
B3SA3,0.1518,0.010159706556279806,0.639112751586498,0.533,1.0,12
BBDC4,0.0956,0.0,1.0,0.279,16.11350392649998,8
BBAS3,0.0956,0.0,1.0,0.269,10.787137375086203,12
ITUB4,0.0956,0.0,1.0,0.327,9.190430617542393,9
VIVT3,0.0956,0.0,1.0,0.387,5.450932352335212,8
VALE3,0.0597,0.0,1.0,0.382,8.291616285946303,9
PETR4,0.0597,0.0,1.0,0.298,22.341670979262144,8
PRIO3,0.0597,-0.039944826121214305,0.7294518539041739,0.303,51.113960187771674,8
AXIA3,0.0478,-0.03565131961632548,0.7044144596894761,0.77,0.9999396908579204,11
SUZB3,0.0478,0.0,1.0,0.334,38.13833301496231,11
WEGE3,0.0478,0.4515082668626072,0.8089207169253816,0.438,1.0,14
ABEV3,0.0478,0.0,1.0,0.494,1.0,5
RAIZ4,0.0478,0.058606858975764446,0.6716894286424447,0.546,1.0,15
RDOR3,0.0478,0.5767654939281792,0.7761813245176165,0.549,1.0,11
BPAC11,0.0,-0.023463438231064105,0.8157327426749046,0.43,1.0,11
VBBR3,0.0,0.0055818338287698735,0.9197625983992697,0.562,1.0,9
TOTS3,0.0,-0.004584104234575196,0.7122699660286358,0.491,1.0,12
RAIL3,0.0,-0.009688801270287928,0.8174137064059028,0.398,1.0,11
AURA33,0.0,0.0023433357220512883,0.6505768763656299,0.459,1.0,9
COGN3,0.0,-0.01972450606167777,0.6420678278487558,0.434,1.0,9
