symbol,data_source,setor,subsetor,avg_volume,avg_close,last_close,d1_bars,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,yahoo,IMOBILIÁRIO,,2153015.0,25.659499835968017,26.790000915527344,250,55245288.03933668,0.2706467174966409,0.8415087418309702,0.8415087418309702,0.0,0.7272727272727273,0.6181818181818182,1.0,0.9818181818181818,0.8245454545454546,1,A
LWSA3,yahoo,TECNOLOGIA,,3191530.0,4.275500011444092,4.329999923706055,250,13645386.551524162,0.3869008524159588,0.6319260614798132,0.6319260614798132,2383369728.0,0.9636363636363636,0.36363636363636365,0.8909090909090909,0.7636363636363637,0.7854545454545454,2,A
ABCB4,yahoo,FINANCEIRO,,632905.0,24.342499923706054,23.959999084472656,250,15406489.91421318,0.2283362165732938,0.46172993628626496,0.46172993628626496,5778596864.0,0.9272727272727272,0.8727272727272727,0.7272727272727273,0.4727272727272727,0.7754545454545454,3,A
QUAL3,yahoo,SAÚDE,,2189560.0,2.240500009059906,2.319999933242798,250,4905709.199837208,0.5252991795759329,0.5381319336736287,0.5381319336736287,658865536.0,0.9818181818181818,0.21818181818181817,0.9818181818181818,0.5636363636363636,0.7454545454545454,4,A
PINE4,yahoo,FINANCEIRO,,359780.0,12.833499956130982,13.239999771118164,250,4617236.6142168045,0.3645413085302583,0.42608380145724767,0.42608380145724767,3138035200.0,1.0,0.43636363636363634,0.8181818181818182,0.4,0.7218181818181819,5,A
TEND3,yahoo,CONSUMO CÍCLICO,,2088600.0,24.20499982833862,22.850000381469727,250,50554562.64146805,0.5351598881351676,0.6422034677960738,0.6422034677960738,2769006336.0,0.7636363636363637,0.2,0.8545454545454545,0.8,0.6809090909090909,6,A
YDUQ3,yahoo,CONSUMO CÍCLICO,,2706830.0,12.448500061035157,12.109999656677246,250,33695973.42021179,0.45315211202625244,0.5811467590280669,0.5811467590280669,3191640320.0,0.8363636363636363,0.2545454545454545,0.8,0.6545454545454545,0.6745454545454546,7,A
ANIM3,yahoo,SAÚDE,,8483625.0,3.643500006198883,4.010000228881836,250,30910087.740089,0.6356872550934486,0.5069835613726558,0.5069835613726558,1515218432.0,0.8545454545454545,0.10909090909090909,0.9454545454545454,0.5454545454545454,0.6663636363636364,8,A
RECV3,yahoo,ENERGIA,,4605160.0,10.796499919891357,10.329999923706056,250,49719609.57108688,0.3204001648602797,0.3650378342216628,0.3650378342216628,3026460160.0,0.7818181818181819,0.509090909090909,0.8363636363636363,0.34545454545454546,0.6536363636363636,9,A
ODPV3,yahoo,SAÚDE,,2177600.0,11.11949987411499,10.6899995803833,250,24213822.925872803,0.3259898282083525,0.3379329525509565,0.3379329525509565,5827045888.0,0.8727272727272727,0.4727272727272727,0.7090909090909091,0.2909090909090909,0.6354545454545455,10,A
