symbol,data_source,setor,subsetor,avg_volume,avg_close,last_close,d1_bars,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,mt5,IMOBILIÁRIO,,8452.2,25.6295,26.97,250,216625.65990000003,0.2700355699716433,0.8396122434078799,0.8396122434078799,0.0,0.5636363636363636,0.6363636363636364,1.0,0.9636363636363636,0.7672727272727272,1,A
ABCB4,mt5,FINANCEIRO,,2933.65,23.7035,24.25,250,69537.77277499999,0.19177388505371432,0.5344148049584933,0.5344148049584933,5778596864.0,0.7818181818181819,0.9818181818181818,0.7272727272727273,0.5636363636363636,0.7645454545454546,2,A
LWSA3,mt5,TECNOLOGIA,,4795.95,4.2815,4.41,250,20533.859925,0.3849704477952909,0.6218441206888751,0.6218441206888751,2383369728.0,0.9272727272727272,0.34545454545454546,0.8909090909090909,0.7090909090909091,0.7581818181818182,3,A
QUAL3,mt5,SAÚDE,,1772.25,2.239,2.3,250,3968.0677499999997,0.5337072312157073,0.5480690545709784,0.5480690545709784,658865536.0,1.0,0.16363636363636364,0.9818181818181818,0.5818181818181818,0.7445454545454545,4,A
PINE4,mt5,FINANCEIRO,,1062.25,12.677000000000001,13.36,250,13466.143250000001,0.36730907943693214,0.4218518777865571,0.4218518777865571,3138035200.0,0.9454545454545454,0.4,0.8181818181818182,0.38181818181818183,0.6918181818181819,5,A
ANIM3,mt5,SAÚDE,,6717.85,3.6254999999999997,4.04,250,24355.565175,0.635237090356854,0.5029768884189679,0.5029768884189679,1515218432.0,0.9090909090909091,0.10909090909090909,0.9454545454545454,0.4909090909090909,0.6745454545454544,6,A
RECV3,mt5,ENERGIA,,9173.55,10.0555,10.57,250,92244.632025,0.2881343020665156,0.39942613893497525,0.39942613893497525,3026460160.0,0.7090909090909091,0.5636363636363636,0.8363636363636363,0.32727272727272727,0.6354545454545454,7,A
YDUQ3,mt5,CONSUMO CÍCLICO,,7131.9,12.256499999999999,12.38,250,87412.13234999999,0.44302993773415306,0.5718910032888432,0.5718910032888432,3191640320.0,0.7454545454545455,0.23636363636363636,0.8,0.6181818181818182,0.631818181818182,8,A
ODPV3,mt5,SAÚDE,,5328.65,11.116,10.69,250,59233.27339999999,0.32462552984619675,0.34706355407895195,0.34706355407895195,5827045888.0,0.8727272727272727,0.4727272727272727,0.7090909090909091,0.2545454545454545,0.6281818181818182,9,A
NEOE3,mt5,ENERGIA,,1788.45,31.690499999999997,32.06,250,56676.874724999994,0.19446746404752457,0.06927092796126523,0.06927092796126523,38877925376.0,0.8909090909090909,0.9636363636363636,0.41818181818181815,0.07272727272727272,0.6236363636363635,10,A
SLCE3,mt5,CONSUMO NÃO CÍCLICO,,7117.6,14.569000000000003,15.44,250,103696.31440000002,0.21350175986223466,0.38412109256743593,0.38412109256743593,7564187136.0,0.6909090909090909,0.8181818181818182,0.6363636363636364,0.2909090909090909,0.6227272727272728,11,A
MOVI3,mt5,INDUSTRIAL,,8275.9,9.783000000000001,10.59,250,80963.1297,0.6836547108883076,0.615545180395977,0.615545180395977,3266070272.0,0.7636363636363637,0.09090909090909091,0.7818181818181819,0.6727272727272727,0.6154545454545455,12,B
TEND3,mt5,CONSUMO CÍCLICO,,8786.2,24.061500000000002,23.76,250,211409.15130000003,0.5255480418933232,0.6392115398609074,0.6392115398609074,2769006336.0,0.6,0.18181818181818182,0.8545454545454545,0.7454545454545455,0.6090909090909091,13,B
MDNE3,mt5,CONSUMO CÍCLICO,,5762.8,23.701999999999998,24.8,250,136589.88559999998,0.45372233689927577,0.4872122037260966,0.4872122037260966,2039419392.0,0.6545454545454545,0.21818181818181817,0.9272727272727272,0.4727272727272727,0.5990909090909091,14,B
RAIZ4,mt5,CONSUMO NÃO CÍCLICO,,10894.8,0.8255000000000001,0.86,250,8993.6574,0.4201418101112055,0.3365246582653807,0.3365246582653807,8481354752.0,0.9818181818181818,0.2545454545454545,0.6,0.23636363636363636,0.5918181818181818,15,B
MRVE3,mt5,CONSUMO CÍCLICO,,11249.3,7.932,7.78,250,89229.4476,0.40051958638744733,0.4670018512181303,0.4670018512181303,4209933568.0,0.7272727272727273,0.2909090909090909,0.7636363636363637,0.43636363636363634,0.5909090909090909,16,B
COGN3,mt5,CONSUMO CÍCLICO,,17968.7,3.3355000000000006,3.65,250,59934.59885000001,0.47269877085016937,0.4517422228642639,0.4517422228642639,7323808768.0,0.8545454545454545,0.2,0.6545454545454545,0.4,0.5827272727272728,17,B
ITSA4,mt5,FINANCEIRO,,21504.8,11.7405,12.18,250,252477.1044,0.2113381197750013,0.8129668133356592,0.8129668133356592,134872498176.0,0.5272727272727272,0.8363636363636363,0.14545454545454545,0.9272727272727272,0.5736363636363636,18,B
BEEF3,mt5,CONSUMO NÃO CÍCLICO,,12295.65,5.507,5.44,250,67712.14455,0.4166929770714113,0.25309764854390543,0.25309764854390543,5439456768.0,0.8181818181818182,0.2727272727272727,0.7454545454545455,0.2,0.5672727272727274,19,B
ONCO3,mt5,SAÚDE,,4661.65,2.6255,2.35,250,12239.162075,1.0519170889606884,-0.0012652266284437054,0.0012652266284437054,2415317248.0,0.9636363636363636,0.03636363636363636,0.8727272727272727,0.01818181818181818,0.5663636363636363,20,B
MULT3,mt5,IMOBILIÁRIO,,15958.55,27.674500000000002,29.45,250,441644.89197500004,0.282973259348565,0.7932388194724603,0.7932388194724603,14239464448.0,0.38181818181818183,0.5818181818181818,0.5272727272727272,0.8909090909090909,0.56,21,B
