n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,profit_factor,total_trades,costs_paid_proxy,final_equity
5,5,-0.06514924340470762,-0.7858890194751824,-0.555785920862556,-0.9139312966369474,0.07128461805000173,0.5542392827513463,0,0.0,93485.07565952923
10,10,-0.2578271715046233,-0.12574630292701844,-0.13789146369188351,-0.9190049044720172,0.28055037600996163,1.0349314719132818,83,5602.146640280225,74217.28284953767
15,15,-0.2201106081796793,-0.11809092990703668,-0.1294469944223976,-0.7893974579242319,0.278833692672983,1.0282062237702532,156,10263.241241185475,77988.93918203207
20,20,-0.18267872493514126,-0.14056370882137847,-0.15371635949527188,-0.7982420895429743,0.22885128124443072,1.0061305174444408,159,10345.39716820233,81732.12750648588
