symbol,data_source,setor,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,yahoo,IMOBILIÁRIO,,55245288.03933668,0.2706467174966409,0.8415087418309702,0.8415087418309702,0.0,0.7272727272727273,0.6181818181818182,1.0,0.9818181818181818,0.8245454545454546,1,A
LWSA3,yahoo,TECNOLOGIA,,13645386.551524162,0.3869008524159588,0.6319260614798132,0.6319260614798132,2383369728.0,0.9636363636363636,0.36363636363636365,0.8909090909090909,0.7636363636363637,0.7854545454545454,2,A
ABCB4,yahoo,FINANCEIRO,,15406489.91421318,0.2283362165732938,0.46172993628626496,0.46172993628626496,5778596864.0,0.9272727272727272,0.8727272727272727,0.7272727272727273,0.4727272727272727,0.7754545454545454,3,A
QUAL3,yahoo,SAÚDE,,4905709.199837208,0.5252991795759329,0.5381319336736287,0.5381319336736287,658865536.0,0.9818181818181818,0.21818181818181817,0.9818181818181818,0.5636363636363636,0.7454545454545454,4,A
PINE4,yahoo,FINANCEIRO,,4617236.6142168045,0.3645413085302583,0.42608380145724767,0.42608380145724767,3138035200.0,1.0,0.43636363636363634,0.8181818181818182,0.4,0.7218181818181819,5,A
TEND3,yahoo,CONSUMO CÍCLICO,,50554562.64146805,0.5351598881351676,0.6422034677960738,0.6422034677960738,2769006336.0,0.7636363636363637,0.2,0.8545454545454545,0.8,0.6809090909090909,6,A
YDUQ3,yahoo,CONSUMO CÍCLICO,,33695973.42021179,0.45315211202625244,0.5811467590280669,0.5811467590280669,3191640320.0,0.8363636363636363,0.2545454545454545,0.8,0.6545454545454545,0.6745454545454546,7,A
ANIM3,yahoo,SAÚDE,,30910087.740089,0.6356872550934486,0.5069835613726558,0.5069835613726558,1515218432.0,0.8545454545454545,0.10909090909090909,0.9454545454545454,0.5454545454545454,0.6663636363636364,8,A
RECV3,yahoo,ENERGIA,,49719609.57108688,0.3204001648602797,0.3650378342216628,0.3650378342216628,3026460160.0,0.7818181818181819,0.509090909090909,0.8363636363636363,0.34545454545454546,0.6536363636363636,9,A
ODPV3,yahoo,SAÚDE,,24213822.925872803,0.3259898282083525,0.3379329525509565,0.3379329525509565,5827045888.0,0.8727272727272727,0.4727272727272727,0.7090909090909091,0.2909090909090909,0.6354545454545455,10,A
MDNE3,yahoo,CONSUMO CÍCLICO,,35143387.190666676,0.5706080658023025,0.44934447190963905,0.44934447190963905,2039419392.0,0.8181818181818182,0.12727272727272726,0.9272727272727272,0.45454545454545453,0.6345454545454546,11,A
MULT3,yahoo,IMOBILIÁRIO,,112266045.80660248,0.2836897559180466,0.7941964906193641,0.7941964906193641,14239464448.0,0.5454545454545454,0.5818181818181818,0.5272727272727272,0.9454545454545454,0.6281818181818182,12,B
SLCE3,yahoo,CONSUMO NÃO CÍCLICO,,40190202.948202886,0.25125401181002255,0.29571556761307866,0.29571556761307866,7564187136.0,0.8,0.6909090909090909,0.6363636363636364,0.23636363636363636,0.6245454545454545,13,B
MOVI3,yahoo,INDUSTRIAL,,54041445.19044018,0.7235099457429282,0.6259804434213767,0.6259804434213767,3266070272.0,0.7454545454545455,0.09090909090909091,0.7818181818181819,0.7272727272727273,0.6200000000000001,14,B
RAIZ4,yahoo,CONSUMO NÃO CÍCLICO,,20054600.83233708,0.38361448539778364,0.35022334667652755,0.35022334667652755,8481354752.0,0.8909090909090909,0.4,0.6,0.32727272727272727,0.6072727272727272,15,B
DESK3,yahoo,TECNOLOGIA,,17633469.279379845,0.7770066916835675,0.10668878919434302,0.10668878919434302,2063968640.0,0.9090909090909091,0.07272727272727272,0.9090909090909091,0.09090909090909091,0.5781818181818181,16,B
MRVE3,yahoo,CONSUMO CÍCLICO,,66128595.907934666,0.4096531274295704,0.4753016234382877,0.4753016234382877,4209933568.0,0.6545454545454545,0.2909090909090909,0.7636363636363637,0.4909090909090909,0.5763636363636363,17,B
ONCO3,yahoo,SAÚDE,,14661671.322540283,1.0544626298179038,0.0028044673420433977,0.0028044673420433977,2415317248.0,0.9454545454545454,0.03636363636363636,0.8727272727272727,0.01818181818181818,0.5599999999999999,18,B
NEOE3,yahoo,ENERGIA,,65656461.750638,0.18700930574363323,0.06902422434259407,0.06902422434259407,38877925376.0,0.6727272727272727,0.9818181818181818,0.41818181818181815,0.05454545454545454,0.5472727272727272,19,B
VBBR3,yahoo,ENERGIA,,215293745.3812027,0.2360856030093025,0.5840364025596814,0.5840364025596814,30564724736.0,0.36363636363636365,0.8363636363636363,0.45454545454545453,0.6727272727272727,0.5427272727272727,20,B
TOTS3,yahoo,TECNOLOGIA,,126620123.74143888,0.31960682009034896,0.540223360924684,0.540223360924684,25321539584.0,0.5272727272727272,0.5272727272727272,0.4909090909090909,0.6,0.5327272727272727,21,B
BEEF3,yahoo,CONSUMO NÃO CÍCLICO,,62625088.90878677,0.4238566689849688,0.2802968413791319,0.2802968413791319,5439456768.0,0.6909090909090909,0.2727272727272727,0.7454545454545455,0.21818181818181817,0.5263636363636364,22,B
EQTL3,yahoo,ENERGIA,,271310099.5586643,0.25024909847965504,0.8057792698723321,0.8057792698723321,47108534272.0,0.2909090909090909,0.7272727272727273,0.32727272727272727,0.9636363636363636,0.5218181818181818,23,B
GGBR4,yahoo,MATERIAIS BÁSICOS,,175205891.27403164,0.20670705297317968,0.37080202598874673,0.37080202598874673,43532173312.0,0.43636363636363634,0.9636363636363636,0.36363636363636365,0.36363636363636365,0.5090909090909091,24,B
