n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,-0.3183783874829954,-0.08852926742485728,-0.10794862820883816,-0.7900100184597276,0.4030055063146334,68162.16125170045,18,1011.4812502270959
10,10,-0.2925170453725974,-0.13366087180614056,-0.15284917044493443,-0.8741849830038996,0.3346168729271028,70748.29546274027,29,1687.5551495135799
15,15,-0.2759653692863393,-0.1625071084267972,-0.1825018024334747,-0.9415459129800254,0.2930981543033832,72403.46307136607,39,2247.829641381665
20,20,-0.25467239252328533,-0.17477595253123582,-0.20383040681908585,-0.9525292957037853,0.2673643673448576,74532.76074767146,48,2890.6746097228884
