Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
KLBN11,0.1291,0.978968338952468,0.7901551969543018,0.455,0.9524883880530394,4
CSNA3,0.1291,0.4217844974197398,0.648987722005158,0.417,0.9272161820760747,10
RECV3,0.1291,-0.01212346825615308,0.614526662384383,0.538,0.8040006970920567,5
HAPV3,0.1291,0.7704254331519415,0.695253799120438,0.373,1.0,11
IGTI11,0.0914,0.017441455192762367,0.8311649812966413,0.57,0.9079273936645171,3
BBDC4,0.0861,0.007524575648857054,0.7777922809394558,0.48,0.9754114984879005,8
B3SA3,0.0861,-0.009210533986696306,0.790861880638518,0.487,0.9395647435128297,6
MRVE3,0.0574,-0.009057056226989898,0.6889833482824128,0.491,1.0,14
RENT3,0.0568,0.02621526847098926,0.7959433335106959,0.572,0.9312920433435813,5
ODPV3,0.0349,1.468763454359895,0.9615416247972629,0.454,0.9917453466731141,7
ENEV3,0.0252,0.002459591549283135,0.7615730595387211,0.497,0.9357595243280602,7
GGBR4,0.0122,0.02747879062944363,0.8985213895894454,0.569,0.9788774710520763,5
DESK3,0.012,0.02684871533531344,0.9181800892101308,0.541,0.9820393581954455,5
RAIL3,0.0106,-0.012072249069940786,0.813353809621918,0.553,1.0,10
SUZB3,0.0075,0.011430103223006891,0.9196613527075765,0.645,0.9600622525478859,5
PINE4,0.0013,0.024685298303435573,0.9930464472996968,0.571,0.9982624544520387,4
SLCE3,0.0013,0.03442703215130178,0.8685339291285089,0.538,0.9781600353197849,5
ABEV3,0.0007,-0.019710350122352324,0.9244297787018629,0.248,10.238026992214698,5
BPAC11,0.0,1.2622837887602942,0.9700939886709119,0.585,0.9966811104597582,4
USIM5,0.0,0.041323011481842455,0.5284158242437123,0.62,0.8104575279278303,3
