Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
B3SA3,0.0841,-0.04832341018066555,0.9322584809900012,0.336,1.0,12
MGLU3,0.0841,-0.09161274991019908,0.5909209255990419,0.468,1.0,14
AURA33,0.0841,-0.04956184083874144,0.452049410394749,0.534,1.0,13
RAIZ4,0.0841,0.006549243674571901,0.569337978128012,0.494,1.0,8
YDUQ3,0.0841,-0.028454323750530787,0.6008463383019729,0.417,1.0,10
USIM5,0.0841,-0.04933445516905979,0.5832527875600941,0.416,1.0,16
DESK3,0.0841,-0.00589414294487753,0.5694410579523528,0.5,1.0,10
COGN3,0.0841,-0.03457397011030917,0.5313980308951044,0.445,1.0,9
ANIM3,0.0841,-0.04221520199617536,0.3980198806869913,0.49,1.0,14
LWSA3,0.0752,0.0031185948902970016,0.7672686023618709,0.54,1.0,7
HAPV3,0.0729,-0.029504243828850855,0.7910458062797529,0.452,1.0,10
TEND3,0.0379,-0.051468793141265914,0.696445428602045,0.43,1.0,15
MRVE3,0.0261,-0.05437290367436988,0.7831204550042703,0.344,1.0,9
MDNE3,0.0246,-0.07778513099355584,0.774035098269005,0.369,1.0,11
LREN3,0.0063,-0.007622647859561092,0.8858362450476083,0.39,1.0,9
RDOR3,0.0,-0.040525640267982145,0.9897489701056226,0.394,1.0,9
TOTS3,0.0,0.011975581014685235,0.9957816431865532,0.472,1.0,9
CSNA3,0.0,-0.025114092207313102,0.8154713427115057,0.385,1.0,9
CYRE3,0.0,-0.00788688422789726,0.8798675662267426,0.525,1.0,10
BPAC11,0.0,-0.008130890017758899,0.902366012418721,0.537,1.0,8
