symbol,status,reason,timestamp
ABEV3,LIQUIDITY,Vol Baixo 812 < 1M,2026-01-09T18:36:16.919159
ABCB4,LIQUIDITY,Vol Baixo 77 < 1M,2026-01-09T18:36:16.919265
ANIM3,LIQUIDITY,Vol Baixo 236 < 1M,2026-01-09T18:36:16.919272
B3SA3,LIQUIDITY,"Vol Baixo 1,112 < 1M",2026-01-09T18:36:16.919276
AURA33,LIQUIDITY,Vol Baixo 477 < 1M,2026-01-09T18:36:16.919280
BBDC4,LIQUIDITY,"Vol Baixo 1,154 < 1M",2026-01-09T18:36:16.919283
BBAS3,LIQUIDITY,"Vol Baixo 1,400 < 1M",2026-01-09T18:36:16.919287
BPAC11,LIQUIDITY,Vol Baixo 753 < 1M,2026-01-09T18:36:16.919291
BEEF3,LIQUIDITY,Vol Baixo 494 < 1M,2026-01-09T18:36:16.919295
ALSO3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919299
COGN3,LIQUIDITY,Vol Baixo 564 < 1M,2026-01-09T18:36:16.919302
AZUL4,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919306
CSNA3,LIQUIDITY,Vol Baixo 393 < 1M,2026-01-09T18:36:16.919309
CCRO3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919312
BRFS3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919316
CYRE3,LIQUIDITY,Vol Baixo 533 < 1M,2026-01-09T18:36:16.919319
DESK3,LIQUIDITY,Vol Baixo 63 < 1M,2026-01-09T18:36:16.919323
ENEV3,LIQUIDITY,Vol Baixo 559 < 1M,2026-01-09T18:36:16.919327
EQTL3,LIQUIDITY,Vol Baixo 654 < 1M,2026-01-09T18:36:16.919330
GGBR4,LIQUIDITY,Vol Baixo 597 < 1M,2026-01-09T18:36:16.919334
HAPV3,LIQUIDITY,Vol Baixo 635 < 1M,2026-01-09T18:36:16.919338
HGLG11,LIQUIDITY,Vol Baixo 321 < 1M,2026-01-09T18:36:16.919341
ITSA4,LIQUIDITY,Vol Baixo 760 < 1M,2026-01-09T18:36:16.919345
ITUB4,LIQUIDITY,"Vol Baixo 1,120 < 1M",2026-01-09T18:36:16.919348
KLBN11,LIQUIDITY,Vol Baixo 367 < 1M,2026-01-09T18:36:16.919352
KNRI11,LIQUIDITY,Vol Baixo 183 < 1M,2026-01-09T18:36:16.919356
LREN3,LIQUIDITY,Vol Baixo 856 < 1M,2026-01-09T18:36:16.919360
LWSA3,LIQUIDITY,Vol Baixo 218 < 1M,2026-01-09T18:36:16.919363
MDNE3,LIQUIDITY,Vol Baixo 133 < 1M,2026-01-09T18:36:16.919367
MGLU3,LIQUIDITY,Vol Baixo 697 < 1M,2026-01-09T18:36:16.919370
MOVI3,LIQUIDITY,Vol Baixo 260 < 1M,2026-01-09T18:36:16.919374
MRVE3,LIQUIDITY,Vol Baixo 394 < 1M,2026-01-09T18:36:16.919377
NEOE3,LIQUIDITY,Vol Baixo 169 < 1M,2026-01-09T18:36:16.919380
ONCO3,LIQUIDITY,Vol Baixo 122 < 1M,2026-01-09T18:36:16.919384
PETR4,LIQUIDITY,"Vol Baixo 1,417 < 1M",2026-01-09T18:36:16.919387
PINE4,LIQUIDITY,Vol Baixo 25 < 1M,2026-01-09T18:36:16.919391
PRIO3,LIQUIDITY,Vol Baixo 739 < 1M,2026-01-09T18:36:16.919394
QUAL3,LIQUIDITY,Vol Baixo 77 < 1M,2026-01-09T18:36:16.919398
RADL3,LIQUIDITY,Vol Baixo 752 < 1M,2026-01-09T18:36:16.919402
CRFB3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919405
RAIL3,LIQUIDITY,Vol Baixo 630 < 1M,2026-01-09T18:36:16.919409
RAIZ4,LIQUIDITY,Vol Baixo 384 < 1M,2026-01-09T18:36:16.919414
RECV3,LIQUIDITY,Vol Baixo 240 < 1M,2026-01-09T18:36:16.919418
RDOR3,LIQUIDITY,Vol Baixo 585 < 1M,2026-01-09T18:36:16.919422
ELET3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919426
RENT3,LIQUIDITY,Vol Baixo 804 < 1M,2026-01-09T18:36:16.919430
SLCE3,LIQUIDITY,Vol Baixo 214 < 1M,2026-01-09T18:36:16.919439
SUZB3,LIQUIDITY,Vol Baixo 600 < 1M,2026-01-09T18:36:16.919443
TEND3,LIQUIDITY,Vol Baixo 297 < 1M,2026-01-09T18:36:16.919447
TIMS3,LIQUIDITY,Vol Baixo 489 < 1M,2026-01-09T18:36:16.919451
JBSS3,DATA_ERROR,Falha ao carregar dados,2026-01-09T18:36:16.919456
VALE3,LIQUIDITY,"Vol Baixo 1,234 < 1M",2026-01-09T18:36:16.919460
TOTS3,LIQUIDITY,Vol Baixo 420 < 1M,2026-01-09T18:36:16.919466
USIM5,LIQUIDITY,Vol Baixo 377 < 1M,2026-01-09T18:36:16.919469
VBBR3,LIQUIDITY,Vol Baixo 659 < 1M,2026-01-09T18:36:16.919474
VISC11,LIQUIDITY,Vol Baixo 215 < 1M,2026-01-09T18:36:16.919478
VIVT3,LIQUIDITY,Vol Baixo 505 < 1M,2026-01-09T18:36:16.919482
WEGE3,LIQUIDITY,Vol Baixo 769 < 1M,2026-01-09T18:36:16.919486
XPLG11,LIQUIDITY,Vol Baixo 181 < 1M,2026-01-09T18:36:16.919489
YDUQ3,LIQUIDITY,Vol Baixo 336 < 1M,2026-01-09T18:36:16.919493
