n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,-0.061451442235117115,-0.809174476872998,-0.5756831877851607,-0.9153195146999453,0.06713660229921108,93854.85577648829,0,0.0
10,10,-0.18773524730352908,-0.1125793515621532,-0.12215089953689504,-0.799863283611977,0.23470916986683646,81226.4752696471,57,4135.987590987487
15,15,-0.22448243955676017,-0.14722490015092113,-0.1627269320997332,-0.9419120301205917,0.23832633237311981,77551.75604432398,129,7824.685997431574
20,20,-0.175981751686757,-0.16809627781336914,-0.1829453319609962,-0.9457512046824597,0.18607615915841597,82401.8248313243,129,7824.685997431574
