n_assets,n_assets_effective,total_return,sharpe,sortino,calmar,max_drawdown,final_equity,total_trades,costs_paid_proxy
5,5,-0.1624188788016786,-0.07671863396911252,-0.08455034692045858,-0.6506700160169003,0.2496178935613655,83758.11211983213,16,1506.5220972567358
10,10,-0.1411905910260698,-0.13447062265765145,-0.1418526334159632,-0.711436236520996,0.198458531879832,85880.94089739303,30,2105.1521666762887
15,15,-0.19940644707942978,-0.11574244485770586,-0.1289631123435476,-0.6860263247572634,0.29066879780449495,80059.35529205702,106,7644.745290718238
20,20,-0.16957457461452763,-0.1385621476150108,-0.15332719141110232,-0.7305584263616469,0.23211637631646925,83042.54253854723,130,8316.91333669245
