symbol,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,,53387786.27,0.2700355699716433,0.8396122434078799,0.8396122434078799,0.0,0.7222222222222222,0.6296296296296297,1.0,0.9629629629629629,0.8212962962962964,1,A
ABCB4,,14706836.575,0.19177388505371432,0.5344148049584933,0.5344148049584933,5778596864.0,0.9259259259259259,0.9814814814814815,0.7407407407407407,0.5555555555555556,0.8166666666666667,2,A
LWSA3,,13579205.4,0.3849704477952909,0.6218441206888751,0.6218441206888751,2366856960.0,0.9629629629629629,0.3333333333333333,0.9074074074074074,0.7037037037037037,0.7712962962962963,3,A
QUAL3,,4913261.6,0.5337072312157073,0.5480690545709784,0.5480690545709784,658865536.0,0.9814814814814815,0.14814814814814814,0.9814814814814815,0.5740740740740741,0.7333333333333333,4,A
PINE4,,4423068.6850000005,0.36730907943693214,0.4218518777865571,0.4218518777865571,3138035200.0,1.0,0.3888888888888889,0.8333333333333334,0.37037037037037035,0.7101851851851851,5,A
TEND3,,49807786.230000004,0.5255480418933232,0.6392115398609074,0.6392115398609074,2769006336.0,0.7592592592592593,0.16666666666666666,0.8703703703703703,0.7407407407407407,0.6648148148148147,6,A
MDNE3,,32506226.409999996,0.45372233689927577,0.4872122037260966,0.4872122037260966,2039419392.0,0.8333333333333334,0.2037037037037037,0.9444444444444444,0.46296296296296297,0.6611111111111111,7,A
RECV3,,45360360.5,0.2881343020665156,0.39942613893497525,0.39942613893497525,2994232832.0,0.7777777777777778,0.5555555555555556,0.8518518518518519,0.3148148148148148,0.6592592592592593,8,A
SLCE3,,39016583.29500001,0.21350175986223466,0.38412109256743593,0.38412109256743593,7564187136.0,0.7962962962962963,0.8148148148148148,0.6481481481481481,0.2777777777777778,0.6592592592592592,9,A
YDUQ3,,32584947.0525,0.44302993773415306,0.5718910032888432,0.5718910032888432,3191640320.0,0.8148148148148148,0.2222222222222222,0.8148148148148148,0.6111111111111112,0.6555555555555556,10,A
ANIM3,,29861702.662499998,0.635237090356854,0.5029768884189679,0.5029768884189679,1545447168.0,0.8518518518518519,0.09259259259259259,0.9629629629629629,0.48148148148148145,0.6537037037037037,11,A
ODPV3,,23854157.88,0.32462552984619675,0.34706355407895195,0.34706355407895195,5827045888.0,0.8703703703703703,0.46296296296296297,0.7222222222222222,0.24074074074074073,0.6259259259259259,12,B
MULT3,,105337587.72250001,0.282973259348565,0.7932388194724603,0.7932388194724603,14239464448.0,0.5555555555555556,0.5740740740740741,0.5370370370370371,0.8888888888888888,0.6212962962962963,13,B
MOVI3,,50629324.00500001,0.6836547108883076,0.615545180395977,0.615545180395977,3218588160.0,0.7407407407407407,0.07407407407407407,0.7962962962962963,0.6666666666666666,0.6064814814814815,14,B
DESK3,,17314599.317500003,0.7765002667804977,0.10711836202317225,0.10711836202317225,2063968640.0,0.9074074074074074,0.05555555555555555,0.9259259259259259,0.09259259259259259,0.5787037037037037,15,B
MRVE3,,64607766.06,0.40051958638744733,0.4670018512181303,0.4670018512181303,4209933568.0,0.6481481481481481,0.2777777777777778,0.7777777777777778,0.42592592592592593,0.5620370370370371,16,B
ONCO3,,14205779.7225,1.0519170889606884,-0.0012652266284437054,0.0012652266284437054,2415317248.0,0.9444444444444444,0.018518518518518517,0.8888888888888888,0.018518518518518517,0.5601851851851851,17,B
VBBR3,,219271234.30500004,0.2228318040971579,0.6527326833423542,0.6527326833423542,30564724736.0,0.37037037037037035,0.7962962962962963,0.46296296296296297,0.7777777777777778,0.5601851851851851,17,B
RAIZ4,,20097627.1275,0.4201418101112055,0.3365246582653807,0.3365246582653807,8791648256.0,0.8888888888888888,0.24074074074074073,0.6111111111111112,0.2222222222222222,0.5564814814814815,19,B
